LTspice 24.0.12 for Windows
Circuit: * C:\Users\botaa\Desktop\TowThomasFilterandPGATransistorLevel\CAIF_Bota_Andrei\Filtru\ImplementareGmModel.asc
Start Time: Mon May 25 14:52:49 2026
solver = Normal
Maximum thread count: 12
tnom = 27
temp = 27
method = trap
.OP point found by inspection.
Ignoring empty pin current: Ix(x1:in+)
Ignoring empty pin current: Ix(x1:in-)
Ignoring empty pin current: Ix(x2:in+)
Ignoring empty pin current: Ix(x2:in-)
Ignoring empty pin current: Ix(x3:in+)
Ignoring empty pin current: Ix(x3:in-)
Ignoring empty pin current: Ix(x4:in+)
Ignoring empty pin current: Ix(x4:in-)
Ignoring empty pin current: Ix(x5:in+)
Ignoring empty pin current: Ix(x5:in-)
Ignoring empty pin current: Ix(x6:in+)
Ignoring empty pin current: Ix(x6:in-)
Ignoring empty pin current: Ix(x1:in+)
Ignoring empty pin current: Ix(x1:in-)
Ignoring empty pin current: Ix(x2:in+)
Ignoring empty pin current: Ix(x2:in-)
Ignoring empty pin current: Ix(x3:in+)
Ignoring empty pin current: Ix(x3:in-)
Ignoring empty pin current: Ix(x4:in+)
Ignoring empty pin current: Ix(x4:in-)
Ignoring empty pin current: Ix(x5:in+)
Ignoring empty pin current: Ix(x5:in-)
Ignoring empty pin current: Ix(x6:in+)
Ignoring empty pin current: Ix(x6:in-)
Total elapsed time: 0.037 seconds.

